x,y,y_pred
-1.643139700000000092e+00,7.941249000000000224e-01,1.079600236444070216e+00
-1.641277000000000097e+00,9.525386000000000131e-01,1.078970617844064561e+00
-1.635702200000000106e+00,8.392532999999999799e-01,1.077086257629692678e+00
-1.635611399999999938e+00,9.895500000000000407e-01,1.077055565962284689e+00
-1.635611399999999938e+00,7.210067000000000004e-01,1.077055565962284689e+00
-1.635562500000000030e+00,5.757972999999999564e-01,1.077039037079727146e+00
-1.631298099999999973e+00,2.649556700000000209e+00,1.075597610356227030e+00
-1.629997499999999988e+00,3.010112200000000016e+00,1.075157989402145686e+00
-1.619379099999999960e+00,8.012063999999999853e-01,1.071568821988016396e+00
-1.618079999999999963e+00,8.455004999999999882e-01,1.071129708054872287e+00
-1.617601700000000031e+00,8.569447000000000036e-01,1.070968035978648425e+00
-1.613582999999999990e+00,9.769478999999999802e-01,1.069609659284686654e+00
-1.610747799999999952e+00,5.608355999999999897e-01,1.068651322110297119e+00
-1.604255999999999904e+00,8.532813999999999677e-01,1.066457003096222822e+00
-1.600120399999999998e+00,9.444850999999999663e-01,1.065059112570543753e+00
-1.598227800000000087e+00,9.676013999999999449e-01,1.064419387353186863e+00
-1.595533400000000102e+00,3.034980999999999929e-01,1.063508642544116700e+00
-1.594770100000000079e+00,5.835278999999999883e-01,1.063250636489795564e+00
-1.594537899999999953e+00,8.684581999999999580e-01,1.063172149648693221e+00
-1.590490399999999971e+00,6.737345000000000139e-01,1.061804038152734275e+00
-1.588107799999999958e+00,8.250705000000000400e-01,1.060998686095842025e+00
-1.586440199999999967e+00,5.933939000000000297e-01,1.060435014019088351e+00
-1.584868900000000025e+00,6.980231999999999548e-01,1.059903892686512750e+00
-1.582526499999999947e+00,6.648505000000000109e-01,1.059112128790741458e+00
-1.581614000000000075e+00,9.005045999999999884e-01,1.058803691053851637e+00
-1.579448900000000044e+00,6.571468000000000309e-01,1.058071857032875540e+00
-1.579448900000000044e+00,5.486039999999999806e-01,1.058071857032875540e+00
-1.577492300000000069e+00,6.369683000000000428e-01,1.057410498922191522e+00
-1.577384099999999956e+00,2.416132000000000168e+00,1.057373925811910587e+00
-1.572662800000000027e+00,9.406381999999999799e-01,1.055778060510892624e+00
-1.572249900000000089e+00,2.831205600000000100e+00,1.055638494547537221e+00
-1.569364800000000004e+00,8.685296000000000127e-01,1.054663290476631543e+00
-1.565755000000000008e+00,6.216410999999999465e-01,1.053443127690192327e+00
-1.561702399999999935e+00,6.416163000000000283e-01,1.052073292323046694e+00
-1.555683499999999997e+00,1.899685000000000124e-01,1.050038820109822302e+00
-1.547227300000000083e+00,5.476571999999999552e-01,1.047180506476189876e+00
-1.546011900000000105e+00,6.023020000000000040e-01,1.046769684311350535e+00
-1.545338899999999960e+00,7.908610000000000362e-01,1.046542200917457865e+00
-1.544023600000000052e+00,5.858246000000000286e-01,1.046097611158190555e+00
-1.543825699999999967e+00,2.385691200000000123e+00,1.046030718195855469e+00
-1.540195299999999934e+00,6.420531999999999906e-01,1.044803592321877028e+00
-1.529275699999999905e+00,5.045861000000000374e-01,1.041112615103527039e+00
-1.528350000000000097e+00,7.174000000000000377e-01,1.040799715582388263e+00
-1.527470099999999942e+00,1.011166999999999927e+00,1.040502297100536655e+00
-1.525114000000000081e+00,2.689533799999999975e+00,1.039705902413537775e+00
-1.516996100000000069e+00,8.229819999999999913e-01,1.036961938901976632e+00
-1.516207000000000082e+00,1.108784200000000109e+00,1.036695212087533013e+00
-1.512379300000000093e+00,9.072023999999999644e-01,1.035401396059594470e+00
-1.512379300000000093e+00,6.645906999999999787e-01,1.035401396059594470e+00
-1.510575299999999954e+00,8.883408999999999889e-01,1.034791618878937225e+00
-1.502006600000000081e+00,2.536521700000000212e+00,1.031895278675003524e+00
-1.499661399999999922e+00,4.599322000000000132e-01,1.031102568340149350e+00
-1.496875100000000014e+00,2.363705400000000179e+00,1.030160760048317359e+00
-1.490167699999999984e+00,6.349740999999999858e-01,1.027893565224847539e+00
-1.488834699999999955e+00,8.583577000000000012e-01,1.027442992618519346e+00
-1.487311700000000014e+00,9.192803000000000502e-01,1.026928197360126527e+00
-1.486998000000000042e+00,2.425889199999999857e+00,1.026822162381428205e+00
-1.485154300000000038e+00,2.413068399999999780e+00,1.026198966046629080e+00
