id,num_parents,true_split,found_split,score_diff,num_iter,method_acc,gmm_acc,kmeans_acc
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
2,2, 0,0,[-902.72168037],2,0,0,0
1,2, 0,0,[-883.09125307],2,0,0,0
0,2, 1,1,[1739.26162114],3,0.9092,0.8452,0.5228
9,2, 0,0,[-936.02712034],2,0,0,0
7,2, 0,0,[-971.25645195],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
0,1, 0,0,[-813.52514556],2,0,0,0
9,2, 0,0,[-943.50673651],2,0,0,0
8,2, 1,1,[10003.0315151],2,0.9904,0.8908,0.624
6,2, 0,0,[-772.65687245],2,0,0,0
7,2, 0,0,[-845.09734866],2,0,0,0
3,2, 0,0,[-941.73463961],2,0,0,0
1,2, 1,1,[8144.20596546],2,0.99,0.9052,0.5212
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
9,2, 0,0,[-935.33875291],2,0,0,0
5,1, 0,0,[-801.01335192],2,0,0,0
4,2, 0,0,[-928.32074192],2,0,0,0
3,1, 0,0,[-772.85466189],2,0,0,0
2,2, 0,0,[-959.20237449],2,0,0,0
1,2, 1,1,[10349.72646666],2,0.992,0.8968,0.848
0,2, 1,1,[3192.26875693],4,0.9888,0.8116,0.8216
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
6,2, 0,0,[-982.59303584],2,0,0,0
3,1, 0,0,[-852.14373662],2,0,0,0
1,1, 0,0,[-793.9821595],2,0,0,0
8,2, 1,1,[5760.00969956],3,0.9828,0.8828,0.844
5,2, 0,0,[-910.38911343],2,0,0,0
2,2, 0,0,[-972.10520841],2,0,0,0
0,1, 0,0,[-892.15156011],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,2, 0,0,[-866.17539031],2,0,0,0
0,1, 0,0,[-848.30336594],2,0,0,0
9,2, 0,0,[-948.75344741],2,0,0,0
4,2, 0,0,[-883.83281251],2,0,0,0
3,2, 0,0,[-977.67131524],2,0,0,0
7,2, 0,0,[-885.22644907],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
2,2, 0,0,[-978.03189583],2,0,0,0
5,2, 0,0,[-977.75771492],2,0,0,0
1,2, 1,1,[5045.40972699],2,0.9832,0.8836,0.5016
0,1, 0,0,[-864.68140064],2,0,0,0
9,2, 0,0,[-945.63117148],2,0,0,0
7,1, 0,0,[-808.90598188],2,0,0,0
6,2, 0,0,[-977.51726511],2,0,0,0
4,2, 0,0,[-887.60829119],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
2,1, 0,0,[-800.09687103],2,0,0,0
7,1, 0,0,[-822.69237823],2,0,0,0
3,2, 0,0,[-909.00469139],2,0,0,0
5,2, 0,0,[-936.55089078],2,0,0,0
9,2, 0,0,[-928.07234891],2,0,0,0
6,1, 0,0,[-852.66243914],2,0,0,0
4,2, 0,0,[-958.76603645],2,0,0,0
0,1, 1,1,[3234.1205078],2,0.9568,0.8868,0.5888
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
7,1, 1,1,[3788.54712098],2,0.9628,0.8908,0.6068
1,2, 1,1,[298.30366673],6,0.8932,0.7124,0.5728
9,2, 0,0,[-268.51287655],2,0,0,0
2,2, 0,0,[-849.05546337],2,0,0,0
6,2, 0,0,[-892.83395672],2,0,0,0
0,2, 0,0,[-921.76051144],2,0,0,0
8,2, 0,0,[-891.67428055],2,0,0,0
3,2, 0,0,[-909.01116788],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,1, 0,0,[-788.28631651],2,0,0,0
7,1, 0,0,[-849.47125139],2,0,0,0
4,2, 0,0,[-774.42782158],2,0,0,0
5,2, 0,0,[-921.18581914],2,0,0,0
2,2, 1,1,[8759.59408923],2,0.9872,0.8948,0.8456
1,2, 0,0,[-957.84109106],2,0,0,0
0,2, 0,0,[-792.43692612],2,0,0,0
6,2, 1,1,[14788.79435653],2,0.998,0.8304,0.8608
9,2, 0,1,[789.24619204],2,0.7228,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-801.62206084],2,0,0,0
7,2, 1,1,[6679.1035182],2,0.9888,0.8816,0.5952
5,2, 0,0,[-964.66517045],2,0,0,0
4,2, 0,0,[-938.03022787],2,0,0,0
2,2, 0,0,[-883.94258469],2,0,0,0
0,2, 0,0,[-891.7694731],2,0,0,0
9,2, 0,1,[1145.33594178],2,0.6784,0,0
3,2, 1,0,[-943.81782531],2,0,0.514,0.5164
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-781.62694366],2,0,0,0
6,2, 0,0,[-898.46412442],2,0,0,0
4,2, 0,0,[-939.09760866],2,0,0,0
3,2, 0,0,[-952.61665528],2,0,0,0
9,2, 0,0,[-990.91829679],2,0,0,0
2,2, 1,1,[8934.22696171],3,0.988,0.8824,0.6656
0,2, 1,1,[10203.1336975],2,0.9972,0.8928,0.5056
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-752.08493866],2,0,0,0
9,1, 1,1,[7416.72937561],2,0.9828,0.8908,0.6444
3,2, 0,0,[-869.72039472],2,0,0,0
1,1, 0,0,[-789.49398538],2,0,0,0
5,1, 0,0,[-843.69389333],2,0,0,0
0,2, 1,1,[5860.99355745],2,0.9724,0.8896,0.6524
2,2, 0,0,[-929.6640285],2,0,0,0
7,2, 0,0,[-906.86501623],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
7,1, 0,0,[-797.04127802],2,0,0,0
9,2, 0,0,[-862.62086521],2,0,0,0
4,2, 0,0,[-835.5275943],2,0,0,0
2,1, 0,0,[-806.15827761],2,0,0,0
6,2, 1,1,[4231.71071755],2,0.99,0.8828,0.608
5,2, 0,0,[-539.11912904],2,0,0,0
3,2, 0,0,[-739.51562274],2,0,0,0
1,2, 1,1,[308.61190165],5,0.8808,0.82,0.788
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,1, 0,0,[-813.92259665],2,0,0,0
6,2, 0,0,[-996.77618973],2,0,0,0
4,2, 0,0,[-909.86228479],2,0,0,0
3,1, 0,0,[-863.68143841],2,0,0,0
2,2, 0,0,[-916.50134446],2,0,0,0
5,2, 0,0,[-750.84950318],2,0,0,0
0,2, 1,1,[2216.11914747],2,0.9848,0.9064,0.5108
1,2, 0,0,[-930.22688545],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
4,2, 0,0,[-934.94890927],2,0,0,0
1,1, 0,0,[-773.54660091],2,0,0,0
9,2, 0,0,[-927.25593951],2,0,0,0
6,1, 1,1,[5984.94267223],2,0.986,0.8984,0.5072
5,2, 0,0,[-984.36123109],2,0,0,0
7,2, 0,0,[-905.35875266],2,0,0,0
3,2, 0,0,[-889.50369468],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,1, 0,0,[-884.29268263],2,0,0,0
7,2, 1,1,[2482.27492866],2,0.9688,0.8884,0.6272
4,2, 1,0,[-569.88710469],25,0,0.7896,0.7708
9,2, 0,0,[-850.68222302],2,0,0,0
5,2, 0,0,[-903.61796805],2,0,0,0
1,2, 0,0,[-886.03761401],2,0,0,0
8,2, 0,0,[-983.47915996],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
4,2, 0,0,[-915.49436413],2,0,0,0
7,2, 0,0,[-950.26610029],2,0,0,0
1,2, 0,0,[-973.37725966],2,0,0,0
0,2, 0,0,[-905.68657546],2,0,0,0
5,2, 1,1,[9785.99208307],2,0.996,0.9056,0.5692
6,2, 0,0,[-881.09775819],2,0,0,0
2,2, 0,0,[-686.12368788],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
9,1, 0,0,[-793.96660621],2,0,0,0
5,1, 1,1,[6018.81589973],2,0.9756,0.888,0.598
8,2, 0,0,[-851.93582889],2,0,0,0
7,2, 0,0,[-860.14257222],2,0,0,0
2,2, 0,0,[-937.28231988],2,0,0,0
3,2, 1,0,[-1224.85969767],3,0,0.818,0.8132
6,2, 0,0,[-943.88288788],2,0,0,0
4,2, 0,0,[-944.7490725],2,0,0,0
0,2, 0,0,[-908.40503321],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
4,1, 0,0,[-877.85967522],2,0,0,0
9,2, 0,0,[-1002.73146389],2,0,0,0
6,1, 0,0,[-812.392747],2,0,0,0
1,1, 0,0,[-800.59233612],2,0,0,0
5,2, 0,0,[-919.04819295],2,0,0,0
2,2, 0,0,[-787.92871676],2,0,0,0
0,1, 0,0,[-818.27767039],2,0,0,0
7,2, 0,0,[-896.59432051],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,1, 0,0,[-771.78384386],2,0,0,0
6,2, 0,0,[-799.63289898],2,0,0,0
1,1, 1,1,[5594.97135069],2,0.9868,0.8888,0.85
8,2, 0,0,[-907.67882175],2,0,0,0
0,2, 0,0,[-959.74693308],2,0,0,0
3,2, 0,0,[-949.48333253],2,0,0,0
2,2, 1,1,[7417.55567202],2,0.9888,0.8864,0.524
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
3,1, 1,1,[4724.85264903],2,0.9688,0.8944,0.564
8,1, 0,0,[-794.88428917],2,0,0,0
9,2, 0,0,[-878.04109514],2,0,0,0
4,2, 0,0,[-980.69269578],2,0,0,0
2,2, 0,0,[-992.59781895],2,0,0,0
7,2, 0,0,[-820.8783128],2,0,0,0
0,2, 0,0,[-944.21757155],2,0,0,0
1,2, 0,0,[-791.23127634],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
8,2, 0,0,[-926.35415986],2,0,0,0
7,2, 0,0,[-847.08649282],2,0,0,0
5,2, 1,1,[4615.82038424],3,0.966,0.8704,0.5348
6,2, 0,0,[-955.49533922],2,0,0,0
4,2, 0,0,[-930.81358041],2,0,0,0
3,2, 0,0,[-806.00282132],2,0,0,0
1,2, 0,0,[-963.78843088],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
4,1, 0,0,[-872.61103985],2,0,0,0
8,2, 0,0,[-974.07411205],2,0,0,0
5,2, 1,1,[3925.52804263],2,0.9876,0.8916,0.5844
9,2, 0,0,[-20.6209856],2,0,0,0
6,2, 0,0,[-905.51272156],2,0,0,0
3,2, 0,0,[-974.38179588],2,0,0,0
2,2, 1,1,[3649.6018322],2,0.9432,0.588,0.526
0,2, 0,0,[-921.41744346],2,0,0,0
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
1,1, 0,0,[-842.59217532],2,0,0,0
7,2, 0,0,[-970.89626289],2,0,0,0
6,2, 0,0,[-900.33289011],2,0,0,0
3,2, 0,0,[-835.87407583],2,0,0,0
8,2, 0,0,[-786.04665803],2,0,0,0
5,2, 1,1,[12020.11905445],2,0.9952,0.828,0.854
0,2, 0,0,[-875.36969183],2,0,0,0
2,2, 1,1,[9737.10012819],2,0.9908,0.8916,0.8496
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
2,1, 0,0,[-788.96009777],2,0,0,0
7,2, 0,0,[-939.25991799],2,0,0,0
4,2, 1,1,[6579.26066222],2,0.996,0.91,0.5316
6,2, 0,1,[604.56545065],4,0.5508,0,0
9,1, 0,0,[-816.14981158],2,0,0,0
8,2, 0,0,[-953.40537106],2,0,0,0
3,2, 1,1,[3526.8150705],2,0.9448,0.8872,0.8516
id, num_parents, true_split, found_split, score_diff, num_iter, method_acc, gmm_acc, kmeans_acc
5,1, 0,0,[-890.59987123],2,0,0,0
3,1, 0,0,[-828.84266172],2,0,0,0
8,1, 0,0,[-814.37098941],2,0,0,0
9,2, 0,0,[-889.70248257],2,0,0,0
7,2, 1,1,[5120.25428803],2,0.9984,0.9052,0.5184
2,2, 1,1,[14074.07960834],2,0.9984,0.894,0.5368
6,2, 0,0,[-888.21876898],2,0,0,0
4,2, 0,0,[-883.56596853],2,0,0,0
