x,density
-4.386674687910931958e-01,1.246795864760998906e+00
-4.337860880388821894e-01,1.254381870069991578e+00
-4.289047072866711829e-01,1.261516902247111327e+00
-4.240233265344599545e-01,1.268193579876560673e+00
-4.191419457822489480e-01,1.274404995950229047e+00
-4.142605650300379416e-01,1.280144727420833961e+00
-4.093791842778267132e-01,1.285406844017338290e+00
-4.044978035256157067e-01,1.290185916321592519e+00
-3.996164227734047003e-01,1.294477023106079816e+00
-3.947350420211936939e-01,1.298275757933261332e+00
-3.898536612689824654e-01,1.301578235017770480e+00
-3.849722805167714590e-01,1.304381094352970116e+00
-3.800908997645604526e-01,1.306681506103803514e+00
-3.752095190123492241e-01,1.308477174267803633e+00
-3.703281382601382177e-01,1.309766339606444729e+00
-3.654467575079272113e-01,1.310547781848536486e+00
-3.605653767557159828e-01,1.310820821167527184e+00
-3.556839960035049764e-01,1.310585318934100796e+00
-3.508026152512939699e-01,1.309841677745148036e+00
-3.459212344990827415e-01,1.308590840730007532e+00
-3.410398537468717350e-01,1.306834290134225807e+00
-3.361584729946607286e-01,1.304574045180974418e+00
-3.312770922424495001e-01,1.301812659209783174e+00
-3.263957114902384937e-01,1.298553216091950624e+00
-3.215143307380274873e-01,1.294799325921870858e+00
-3.166329499858162588e-01,1.290555119983228805e+00
-3.117515692336052524e-01,1.285825244989144300e+00
-3.068701884813942460e-01,1.280614856595253315e+00
-3.019888077291830175e-01,1.274929612185088823e+00
-2.971074269769720111e-01,1.268775662927396519e+00
-2.922260462247610047e-01,1.262159645105642936e+00
-2.873446654725497762e-01,1.255088670720531763e+00
-2.824632847203387698e-01,1.247570317367467485e+00
-2.775819039681277633e-01,1.239612617391681937e+00
-2.727005232159165349e-01,1.231224046325281707e+00
-2.678191424637055285e-01,1.222413510611694010e+00
-2.629377617114945220e-01,1.213190334624745015e+00
-2.580563809592832936e-01,1.203564246991367215e+00
-2.531750002070722871e-01,1.193545366228865978e+00
-2.482936194548612807e-01,1.183144185709902541e+00
-2.434122387026500522e-01,1.172371557970497191e+00
-2.385308579504390458e-01,1.161238678378881284e+00
-2.336494771982280394e-01,1.149757068185461195e+00
-2.287680964460168109e-01,1.137938556976773041e+00
-2.238867156938058045e-01,1.125795264559039000e+00
-2.190053349415947981e-01,1.113339582299572417e+00
-2.141239541893837917e-01,1.100584153957096856e+00
-2.092425734371725632e-01,1.087541856034701215e+00
-2.043611926849615568e-01,1.074225777691962813e+00
-1.994798119327505503e-01,1.060649200255351587e+00
-1.945984311805393219e-01,1.046825576368533683e+00
-1.897170504283283154e-01,1.032768508826864773e+00
-1.848356696761173090e-01,1.018491729142391167e+00
-1.799542889239060806e-01,1.004009075888094404e+00
-1.750729081716950741e-01,9.893344728719105641e-01
-1.701915274194840677e-01,9.744819071928968457e-01
-1.653101466672728392e-01,9.594654072334676265e-01
-1.604287659150618328e-01,9.442990206428186761e-01
-1.555473851628508264e-01,9.289967923677879824e-01
-1.506660044106395979e-01,9.135727427880552254e-01
-1.457846236584285915e-01,8.980408460130696602e-01
-1.409032429062175851e-01,8.824150083982498227e-01
-1.360218621540063566e-01,8.667090473378007420e-01
-1.311404814017953502e-01,8.509366703910541396e-01
-1.262591006495843438e-01,8.351114547984621606e-01
-1.213777198973731153e-01,8.192468274422224361e-01
-1.164963391451621089e-01,8.033560453052039918e-01
-1.116149583929511024e-01,7.874521764800539447e-01
-1.067335776407398740e-01,7.715480817784441392e-01
-1.018521968885288675e-01,7.556563969881552323e-01
-9.697081613631786112e-02,7.397895158231240220e-01
-9.208943538410663265e-02,7.239595736089129430e-01
-8.720805463189562623e-02,7.081784317429954401e-01
-8.232667387968461981e-02,6.924576629661305383e-01
-7.744529312747339134e-02,6.768085374777135232e-01
-7.256391237526238491e-02,6.612420099245099880e-01
-6.768253162305137849e-02,6.457687072884938928e-01
-6.280115087084015002e-02,6.303989176958522123e-01
-5.791977011862914360e-02,6.151425801653177539e-01
-5.303838936641813717e-02,6.000092753101866627e-01
-4.815700861420713075e-02,5.850082170045155516e-01
-4.327562786199590228e-02,5.701482450200391350e-01
-3.839424710978489586e-02,5.554378186365724890e-01
-3.351286635757388943e-02,5.408850112248595465e-01
-2.863148560536266096e-02,5.264975057971128525e-01
-2.375010485315165454e-02,5.122825915168571775e-01
-1.886872410094064811e-02,4.982471611562970804e-01
-1.398734334872941965e-02,4.843977094859625576e-01
-9.105962596518413221e-03,4.707403325783688364e-01
-4.224581844307406797e-03,4.572807280042757161e-01
6.567989079038216715e-04,4.440241958974500136e-01
5.538179660114828096e-03,4.309756408612039347e-01
1.041956041232583452e-02,4.181395746875609110e-01
1.530094116453706299e-02,4.055201198578194388e-01
2.018232191674806941e-02,3.931210137912903302e-01
2.506370266895907584e-02,3.809456138073573639e-01
2.994508342117030431e-02,3.689969027644858235e-01
3.482646417338131073e-02,3.572774953386458341e-01
3.970784492559231715e-02,3.457896449025966712e-01
4.458922567780354562e-02,3.345352509666982832e-01
4.947060643001455205e-02,3.235158671414704035e-01
5.435198718222555847e-02,3.127327095816683777e-01
5.923336793443678694e-02,3.021866658716682585e-01
6.411474868664779336e-02,2.918783043119501652e-01
6.899612943885879979e-02,2.818078835667882087e-01
7.387751019107002826e-02,2.719753626336984254e-01
7.875889094328081264e-02,2.623804110958093960e-01
8.364027169549204110e-02,2.530224196190740127e-01
8.852165244770326957e-02,2.439005106571724424e-01
